ID,qualtrics_q_id,html_input,empty
SAV,q12,Which one of the following statements is true?,
SAV,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences.",
SAV,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that they will actually pay me six months from now.",
SAV,q23,Which one of the following statements is true?,
SAV,q23a1,Whatever amount I save and the interest it accrues will be paid out to me six months from now.,
SAV,q23a2,"Whatever amount I save will be paid out to me six months from now, but I will not receive interest payments.",
SAV,q23a3,"Whatever amount I save and the interest it accrues may be paid out to me six months from now, but there is a 40% chance that the study leaders won’t actually send me the money.",
SAV,q33,Which one of the following statements is true?,
SAV,q33a1,"If I save 50 points and the interest rate is 10%, then I will receive 55 points in six months: 50 points that I saved and 5 points in interest payments.",
SAV,q33a2,"If I save 50 points and the interest rate is 10%, then I will receive 5 points in six months.",
SAV,q33a3,"If I save 50 points and the interest rate is 10%, then I will receive 50 points in six months.",
DIG,q13,Which one of the following statements is true?,
DIG,q13a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences and the available information.",
DIG,q13a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the points I sent will actually be received by the other participant",
DIG,q13a3,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I chose the option that actually maximizes my own payoff.",
DIG,q23,Which one of the following statements is true?,
DIG,q23a1,"The more points I send to the other participant, the lower my bonus is for sure, and the higher the other participant’s bonus is with some percentage chance.",
DIG,q23a2,"The more points I send to the other participant, the higher my bonus is for sure, and the lower the other participant’s bonus is for sure.",
DIG,q23a3,"The more points I send to the other participant, the lower my bonus is for sure, and the higher the other participant’s bonus is for sure.",
DIG,q33,Which one of the following statements is true?,
DIG,q33a1,Every point I keep increases my bonus by $0.10.,
DIG,q33a2,Every point I keep decreases my bonus by $0.10.,
DIG,q33a3,Every point I keep increases my bonus by $0.01.,
IND,q12,Which one of the following statements is true?,
IND,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that my decision actually reflects how much I value the hint. ",
IND,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am about the outcome of the coin flip.",
IND,q23,Which one of the following statements is <b>NOT</b> true?,
IND,q23a1,"Depending on the accuracy rate of the hint, the hint could be more likely to be incorrect than correct.",
IND,q23a2,"If the hint says that the coin came up Heads and the accuracy rate of the hint is 100%, it is certain that the coin actually came up Heads. If I follow the hint, my guess is guaranteed to be correct. ",
IND,q23a3,"If the hint says that the coin came up Heads and the accuracy rate of the hint is 50%, the hint is equally likely to be right and wrong. Following the hint will be no better than if I guessed randomly. ",
IND,q32,Which one of the following statements is true?,
IND,q32a1,"If a round in this study is selected for payment, I am more likely to receive the hint if I stated a higher willingness to pay for the hint in that round.",
IND,q32a2,"If a round in this study is selected for payment, whether or not I receive the hint does not depend on my stated willingness to pay for the hint in that round.",
CMA,q12,Which one of the following statements is true?,
CMA,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I took is actually the decision that maximizes my bonus.",
CMA,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that they will actually pay me my bonus.",
CMA,q23,Which one of the following statements is true?,
CMA,q23a1,The happiness gain from consuming 10 instead of 9 bottles of milk is smaller than the happiness gain from consuming 2 instead of 1 bottle.,
CMA,q23a2,The happiness gain from consuming 10 instead of 9 bottles of milk is larger than the happiness gain from consuming 2 instead of 1 bottle.,
CMA,q23a3,The happiness gain from consuming 10 instead of 9 bottles of milk is exactly as large as the happiness gain from consuming 2 instead of 1 bottle.,
CMA,q33,Suppose the price of milk is higher than the price of juice. Which one of the following statements is correct?,
CMA,q33a1,The happinesses-maximizing answer involves less milk than juice because I get less milk than juice for the same money.,
CMA,q33a2,The happinesses-maximizing answer involves more milk than juice because I get less milk than juice for the same money.,
CMA,q33a3,The happinesses-maximizing answer involves less milk than juice because I get more milk than juice for the same money.,
POA,q13,Which one of the following statements is true?,
POA,q13a1,"When I'm asked to indicate my certainty about my investment decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences and the available information.",
POA,q13a2,"When I’m asked to indicate my certainty about my investment decision, the people running this study are interested in how certain I am that I will actually paid for my returns in one year.",
POA,q13a3,"When I'm asked to indicate my certainty about my investment decision, the people running this study are interested in how certain I am in my estimate of the return of the stock account.",
POA,q23,Suppose you invest $500 in both the Stock Account and the Bank Account. Which of the following statements is true?,
POA,q23a1,My payment in one year will depend on the returns of both the Stock Account and the Bank Account. ,
POA,q23a2,My payment in one year will depend only on the return of the Stock Account.,
POA,q23a3,My payment in one year will depend only on the return of the Bank Account.,
POA,q32,Which one of the following statements is true?,
POA,q32a1,"Because the Stock Account tracks an ETF (a basket of stocks and other securities), its return may be higher or lower than the return of the Bank Account. ",
POA,q32a2,The Stock Account will always deliver a higher return than the return of the Bank Account. ,
PRD,q12,Which one of the following statements is true?,
PRD,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences  and the available information.",
PRD,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I chose the option that actually maximizes my own payoff.",
PRD,q22,Which one of the following statements is true?,
PRD,q22a1,My decision determines the row in the payoff matrix determining our payoffs.,
PRD,q22a2,My decision determines the column in the payoff matrix determining our payoffs.,
PRD,q23a3,Whatever amount I invest into the investment fund gets split equally between stocks A and B.,
PRD,q33,Which one of the following statements is true?,
PRD,q33a1,"The first (blue) number in the matrix cell corresponding to our action choices determines my payment, the second (red) number determines the other player's  payment.",
PRD,q33a2,The first (blue) number in the matrix cell corresponding to our action choices determines both my and the other player's payment.,
PRD,q33a3,The second (red) number in the matrix cell corresponding to our action choices determines both my and the other player's payment.,
LIE,q12,Which one of the following statements is true?,
LIE,q12a1,The different rounds in this study are independent of each other and I should make my decision in each round independently of all other rounds.,
LIE,q12a2,"The different rounds in this study depend on each other, hence my decisions in later rounds should factor in how I decided in earlier rounds.",
LIE,q23,Which one of the following statements is true?,
LIE,q23a1,"Out of whatever amount I invest into the investment fund, 95% gets allocated to stock A and 5% to stock B.",
LIE,q23a2,Whatever amount I invest into the investment fund gets allocated to stock B.,
LIE,q23a3,Whatever amount I invest into the investment fund gets split equally between stocks A and B.,
LIE,q33,Which one of the following statements is true?,
LIE,q33a1, Stock A always has a 70% chance of doubling the investment but for Stock B this probability varies across rounds.,
LIE,q33a2, Stock A and Stock B both always have a 70% chance of doubling the investment.,
LIE,q33a3, Stock B always has a 10% of doubling the investment but for Stock A this probability varies across rounds.,
EXT,q12,Which one of the following statements is true?,
EXT,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that my decisions actually reflect how much I value the reduction in CO2 emissions. ",
EXT,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that my choices will actually lead to reduction in CO2 emissions through the purchase of carbon offsets.",
EXT,q23,Suppose the third row from the top gets randomly selected to determine the outcomes of this experiment. Which one of the following statements is <b>NOT</b> correct? <center> <div><img width=750px; src=https://github.com/sebre97/Attenuation/blob/main/Instructions/figures/instr_figures/EXT_compr.png?raw=true></div></center>,
EXT,q23a1,I will get $3.,
EXT,q23a2,I will get $0.,
EXT,q23a3,The researchers will purchase 2.25 tons emissions.,
EXT,q33,Which one of the following statements is true?,
EXT,q33a1,I should complete the choice lists by thinking carefully about the row in which I would like to switch from reducing carbon emission to receiving money.,
EXT,q33a2,I should always switch in the first row of the choice list so that I get the highest possible bonus.,
EXT,q33a3,I should always switch in the last row of the choice list. ,
FOR,q12,Which one of the following statements is true?,
FOR,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that my forecast of the firm’s earnings is statistically correct, given the available information. ",
FOR,q12a2,"When I’m asked to indicate my certainty about my decision, the people running this study are interested in how predictable I think the firm’s earnings will be.",
FOR,q22,Which one of the following statements is true?,
FOR,q22a1,"The unpredictable change is a random draw from the numbers between -8 and +8, with each number equally likely to be drawn.  ",
FOR,q22a2,"The unpredictable change is a random draw from the numbers between -8 and +8, with positive numbers more likely to be drawn than negative numbers.",
FOR,q32,Which one of the following statements is true?,
FOR,q32a1,"My task is to forecast the 2024 earnings of the firm, which is equal to the firm’s 2023 earnings plus the change in earnings between 2023 and 2024. ",
FOR,q32a2,My task is to forecast the 2023 earnings change of the firm. ,
GGI,q12,Which one of the following statements is true?,
GGI,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences.",
GGI,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I chose the option that actually maximizes my own payoff.",
GGI,q23,Which one of the following statements is true?,
GGI,q23a1,Every point I spend to help decreases the chances the other people in my group lose their bonus point by one percentage point.,
GGI,q23a2,Every point I spend to help increases the chances the other people in my group lose their bonus points by one percentage point.,
GGI,q23a3,Every point I spend to help decreases the chances the other people in my group lose their bonus point by two percentage points.,
GGI,q33,Imagine there are 5 other participants in your group. Suppose you spend 40 points to help. Then by how much does the chance that these five other participants lose their bonus points decrease?,
GGI,q33a1,The chance that all other participants lose their bonus decreases by 40 percentage points.,
GGI,q33a2,"The chance that one of the other participants loses their bonus decreases by 40 percentage points, and for the other participants it remains unaffected.",
GGI,q33a3,The chance that I lose my bonus decreases by 40 percentage points.,
ENS,q12,Which one of the following statements is true?,
ENS,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that my decisions actually reflect how much more I would be willing to pay to lease the Camry Hybrid. ",
ENS,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the Camry Hybrid is a better choice.",
ENS,q22,Which one of the following statements is true?,
ENS,q22a1,"The vehicles that I need to choose between are the same across each round. However, the miles I expect to drive annually will change across the scenarios each round. ",
ENS,q22a2,The vehicles that I need to choose between vary across the scenarios in each round. ,
ENS,q33,Which one of the following statements is true?,
ENS,q33a1,The Camry Hybrid is more expensive to lease but - depending on how much I drive - potentially produces savings because it uses less fuel per mile.,
ENS,q33a2,The Camry Hybrid is more expensive to lease and - depending on how much I drive - potentially produces additional costs because it uses more fuel per mile.,
ENS,q33a3,The Camry Hybrid is less expensive to lease and - depending on how much I drive - potentially produces additional savings because it uses less fuel per mile.,
EFF,q12,Which one of the following statements is true?,
